,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000005379.17,537,208,444,216,728,475,963,467,686,836,663,817
ENSG00000005381.8,20,19,10,7,13,13,12,10,6,21,13,5
ENSG00000005421.9,30,16,46,57,25,40,78,33,86,46,42,22
ENSG00000005436.14,865,828,1186,3299,1266,1533,862,1226,812,1423,817,817
ENSG00000005448.17,370,314,196,638,478,537,316,167,361,497,471,402
ENSG00000005469.12,1209,427,951,1182,537,1287,802,882,1349,936,736,1233
ENSG00000005471.19,187,87,246,189,197,322,248,263,309,384,271,376
ENSG00000005483.21,5230,5513,5393,6339,6160,7094,5028,6113,4108,8559,4772,6119
ENSG00000005486.17,1663,1031,1602,1866,1163,3281,1360,1041,1146,1614,1076,964
ENSG00000005513.10,111,275,86,55,42,201,99,88,36,127,89,32
ENSG00000005700.15,5677,4932,5898,6091,3964,8287,3806,6459,3641,6438,4388,6181
ENSG00000005801.18,1799,1098,2502,2551,2300,4363,1302,2481,1096,2063,1363,1330
ENSG00000005810.18,12224,9255,10401,9484,9254,16101,11595,18521,14574,17192,10872,9731
ENSG00000005812.11,2615,1384,1879,2364,2169,3224,1844,2557,2173,2974,1751,2819
ENSG00000005844.19,887,1687,1159,351,404,685,818,2768,576,773,673,176
ENSG00000005882.12,562,200,325,260,437,598,285,442,320,409,269,300
ENSG00000005884.18,7898,7215,9090,17800,22228,6967,6210,2702,7515,10347,8676,11570
ENSG00000005889.16,4095,3822,3074,3275,3336,8886,2739,4739,3143,3519,2417,3453
ENSG00000005893.16,10311,6521,7728,11146,6662,12869,6327,6939,9072,8561,6293,9606
ENSG00000005961.19,21,21,15,21,78,15,17,19,17,22,18,45
ENSG00000005981.13,29,2,23,24,14,35,182,4,73,83,35,12
ENSG00000006007.12,3544,2802,2242,3859,1596,4641,1775,1784,2142,2946,2646,2325
ENSG00000006015.18,1068,325,761,316,518,1713,512,479,1040,510,590,401
ENSG00000006016.11,43,24,47,142,90,68,79,38,56,46,58,175
ENSG00000006025.12,2072,609,1345,1456,716,2038,839,521,862,921,762,557
ENSG00000006042.12,2233,923,1448,2092,1099,3999,2038,1381,1370,3036,2211,2187
ENSG00000006047.13,5,82,11,9,10,324,6,113,6,15,15,3
ENSG00000006059.4,1,0,1,0,0,0,0,0,2,0,0,2
ENSG00000006062.17,490,996,587,441,695,620,524,706,516,689,570,345
ENSG00000006071.15,1852,8,1221,1513,798,1850,7554,19,551,4761,2483,20
ENSG00000006116.4,1,0,0,1,0,3,1,0,1,0,0,0
ENSG00000006118.15,698,554,739,610,1453,676,610,370,1068,621,718,1142
ENSG00000006125.18,10051,9559,9295,10017,11881,7746,7759,9450,7297,14110,8944,9359
ENSG00000006128.12,6,0,16,11,5,213,34,5,11,9,14,14
ENSG00000006194.10,1813,1141,1426,1940,902,3287,1085,1769,1219,1874,1365,1702
ENSG00000006210.7,421,1067,1122,279,580,990,416,1151,937,780,593,667
ENSG00000006282.21,2236,1189,2134,1067,1489,1194,2200,604,1092,2433,1966,1281
ENSG00000006283.18,20,18,18,15,32,4,23,20,12,11,21,34
ENSG00000006327.14,2459,1634,1658,4591,1312,3303,1260,828,1017,1517,1658,2194
ENSG00000006377.11,0,1,0,1,11,22,9,0,3,20,7,23
ENSG00000006432.15,690,360,1518,1119,1052,1316,869,589,760,915,648,1342
ENSG00000006451.8,3022,1498,2109,2712,2084,3973,1501,2027,1651,2616,1858,2678
ENSG00000006453.14,4140,2393,2685,4236,1902,5177,1653,1240,9053,1621,1326,2775
ENSG00000006459.11,5402,3343,3686,3787,3177,10446,2365,4920,3921,3506,2210,4338
ENSG00000006468.14,1829,1289,2858,2253,1811,1515,1803,792,2227,3320,2208,2977
ENSG00000006530.18,1792,1262,1614,1343,1622,2355,1177,1778,1270,1591,1082,1473
ENSG00000006534.16,1564,634,1377,3703,1471,1694,2621,449,637,1741,1308,931
ENSG00000006555.11,1883,515,1146,740,787,2253,520,611,779,488,295,293
ENSG00000006576.16,2411,1769,2034,2865,2573,1861,2135,2411,2451,2934,2276,3455
ENSG00000006606.9,25,95,15,38,39,72,21,62,20,22,17,40
ENSG00000006607.14,4822,3565,3670,4249,1717,10282,2661,3264,2450,4139,3024,3858
ENSG00000006611.17,4101,704,2294,3636,1305,9384,1748,1575,760,2182,1234,653
ENSG00000006625.18,678,344,484,497,425,1616,274,476,396,581,399,462
ENSG00000006634.8,661,686,615,542,661,1172,349,655,405,586,396,531
ENSG00000006638.13,37,18,29,45,49,43,30,50,47,43,26,20
ENSG00000006652.15,1012,1119,1090,1186,935,1502,358,1770,635,708,454,723
ENSG00000006659.13,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000006695.12,498,403,454,367,406,702,464,667,393,587,424,443
ENSG00000006704.11,1244,315,955,1111,1155,2294,676,543,1050,980,769,1166
ENSG00000006712.15,1515,1068,1388,1489,1491,2068,903,1221,1381,1110,958,1082
ENSG00000006715.16,7523,3955,5730,6088,4774,8655,5241,4882,4267,7975,5889,6836
ENSG00000006740.17,567,83,425,209,511,815,495,448,191,826,535,142
ENSG00000006744.19,2529,1377,1596,1411,1554,2957,1503,1977,1714,1845,1465,1612
ENSG00000006747.15,2606,166,2591,672,586,3086,792,918,430,739,479,394
ENSG00000006756.16,3061,2944,1929,1620,2142,10201,2097,1401,1496,3510,2431,1877
ENSG00000006757.12,438,308,222,227,201,888,237,332,258,314,212,236
ENSG00000006788.14,43,31,29,109,46,75,91,5,73,55,52,64
ENSG00000006831.10,4181,2738,2163,6015,2755,5063,2481,2807,2723,5662,3695,3557
ENSG00000006837.12,54,25,35,51,48,69,50,30,65,58,43,40
ENSG00000007001.13,25,5,56,18,25,26,23,39,45,71,43,20
ENSG00000007038.11,232,311,293,71,12,470,46,47,160,645,496,353
ENSG00000007047.15,474,411,630,602,509,504,517,443,680,693,599,708
ENSG00000007062.12,12215,5342,8039,4527,4960,5703,2663,1224,144,8627,5068,1174
ENSG00000007080.11,911,229,377,257,653,840,223,290,595,373,271,305
ENSG00000007129.18,106,84,142,51,37,78,76,158,100,79,75,28
ENSG00000007168.14,6733,4974,5999,8115,5723,7865,6499,6937,6670,8493,6137,7075
ENSG00000007171.18,22,22,150,44,36,877,5,160,32,24,16,24
ENSG00000007174.18,87,11,120,60,41,99,200,72,48,267,123,36
ENSG00000007202.15,6990,4764,7656,9840,8098,7504,5651,7216,6404,8940,6227,7343
ENSG00000007216.15,33,0,20,1,3,119,8,1,4,56,24,0
ENSG00000007237.19,2002,1133,3348,3536,1721,1793,2945,2411,3184,3670,3249,2781
ENSG00000007255.10,602,234,346,323,128,918,356,319,511,868,636,418
ENSG00000007264.15,324,116,228,56,43,118,100,304,90,104,87,73
ENSG00000007306.15,1754,18,5921,938,5274,2272,815,3,312,2439,647,290
ENSG00000007312.13,120,76,87,21,27,41,123,328,210,70,38,32
ENSG00000007314.12,5,2,22,6,9,9,19,230,38,16,9,1
ENSG00000007341.19,858,698,1034,1163,842,1591,795,966,780,1219,825,761
ENSG00000007350.17,3,8,11,4,3,444,7,16,3,6,3,24
ENSG00000007372.24,388,10,315,300,361,338,815,70,99,973,602,39
ENSG00000007376.8,740,212,411,362,213,886,288,361,376,320,259,314
ENSG00000007384.15,1823,1070,1357,2129,644,2696,952,674,886,971,862,982
ENSG00000007392.17,2303,1849,1872,2766,1802,3404,1931,2971,2670,2473,1976,2571
ENSG00000007402.12,177,46,198,144,195,481,430,54,119,1104,477,68
ENSG00000007516.14,388,201,449,306,204,545,1251,61,185,1169,710,233
ENSG00000007520.4,791,302,445,574,355,974,426,404,466,665,516,447
ENSG00000007541.17,932,378,744,755,428,1178,754,451,608,980,777,559
ENSG00000007545.16,327,231,465,479,396,683,340,457,452,605,540,558
ENSG00000007866.22,655,472,863,1139,937,1599,736,502,961,780,767,1273
ENSG00000007908.16,395,268,153,98,148,57,82,933,126,22,16,9
ENSG00000007923.16,1120,911,1045,934,677,2884,792,771,917,984,762,743
ENSG00000007933.13,298,129,545,354,499,740,864,272,556,659,432,518
ENSG00000007944.15,1074,859,954,762,1206,1855,864,1762,835,1363,972,1002
ENSG00000007952.18,26,147,321,26,29,589,10,18,23,11,9,18
ENSG00000007968.7,187,238,144,67,104,392,36,83,95,122,96,77
ENSG00000008018.9,3989,3001,3855,5221,2906,5118,2132,4008,2787,4463,3221,4044
ENSG00000008056.14,7,3,25,10,20,20,19,12,11,25,9,10
ENSG00000008083.14,1190,1299,1413,1363,1514,1191,1201,1621,1350,1628,1239,1495
ENSG00000008086.13,2879,2026,2080,2488,2051,3953,1510,1621,2195,2859,1843,3655
ENSG00000008118.10,57,55,124,168,89,131,59,125,60,151,88,60
ENSG00000008128.23,49,45,55,70,35,269,45,52,47,58,47,44
ENSG00000008130.15,2502,1732,1824,1760,1021,7166,1271,1730,1255,1747,1363,1205
ENSG00000008196.13,0,0,1,0,2,0,0,1,0,6,1,0
ENSG00000008197.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226.20,120,50,141,114,93,184,198,140,159,203,243,106
ENSG00000008256.16,1868,503,2414,3033,1736,3593,2424,1954,2724,2984,3004,2441
ENSG00000008277.14,1441,313,2329,2286,2692,1428,2516,1433,2059,3617,3198,2635
ENSG00000008282.9,4182,1620,2802,4636,2596,4747,2394,3060,2609,4229,2200,3343
ENSG00000008283.16,3903,1264,1765,2507,1594,3227,1990,1479,2199,2414,1839,1997
ENSG00000008294.21,10787,10649,10177,11815,8473,10150,7499,9719,9889,12078,8778,12804
ENSG00000008300.17,279,711,526,155,2102,668,669,119,354,952,747,458
ENSG00000008311.15,2481,810,1669,2175,1223,1209,2057,2203,1216,2782,2086,2569
ENSG00000008323.15,763,886,317,1358,431,2409,280,544,655,496,497,610
ENSG00000008324.12,614,270,258,344,363,388,253,517,245,448,298,343
ENSG00000008382.16,266,115,235,78,190,289,88,133,137,148,98,100
ENSG00000008394.13,1950,1209,586,919,1482,738,507,2498,972,1563,1109,1597
ENSG00000008405.12,966,800,913,1420,950,1417,768,1030,701,944,711,955
ENSG00000008438.5,9,8,15,26,7,24,8,11,13,12,12,27
ENSG00000008441.18,726,198,1027,997,1546,1324,1657,1381,934,2056,1754,991
ENSG00000008513.16,5557,2428,7710,7425,4110,2530,3455,3719,6072,4867,3766,4636
ENSG00000008516.17,27,65,54,26,27,49,59,135,47,79,56,22
ENSG00000008517.18,2069,1746,1179,1580,643,2606,724,2502,1017,936,808,1198
ENSG00000008710.20,2577,668,1800,1841,1948,3985,2707,1538,2824,3070,3245,2278
ENSG00000008735.14,96,126,131,51,81,683,178,16,89,326,192,25
ENSG00000008838.20,1527,1488,1222,1302,1715,1726,1196,1091,1192,1721,1271,1389
ENSG00000008853.17,560,229,664,665,444,510,910,432,523,432,374,533
ENSG00000008869.12,4495,2145,4411,3058,2922,5199,3443,4118,3254,4510,3022,2940
ENSG00000008952.17,6100,3708,7047,6009,7085,4989,5204,5036,4527,9997,5508,5640
ENSG00000008988.11,24782,9843,18724,22608,16584,28464,13095,27266,21379,20696,13080,26058
ENSG00000009307.16,31287,17580,26980,35559,23327,31426,25849,27774,27971,36989,25554,28903
ENSG00000009335.18,7421,3752,5728,5359,5097,10927,4734,5522,4104,5628,4142,5192
ENSG00000009413.16,3339,4011,4065,4177,3109,4397,4446,5708,3603,8032,4077,4234
ENSG00000009694.13,180,56,194,119,118,96,345,519,209,295,164,200
ENSG00000009709.12,0,0,10,1,1,0,0,0,1,0,0,2
ENSG00000009724.17,147,33,150,118,100,184,178,115,239,186,85,138
ENSG00000009765.15,1732,224,1086,1780,68,5310,671,94,238,734,486,90
ENSG00000009780.16,984,475,1025,751,476,937,602,780,643,778,672,565
ENSG00000009790.15,567,842,779,300,304,615,524,1413,610,544,461,214
ENSG00000009830.12,760,390,938,798,815,919,675,551,649,897,736,916
ENSG00000009844.16,1797,1361,1983,3010,1904,2917,1194,1902,1214,2523,1683,1949
ENSG00000009950.16,190,87,227,190,227,1375,902,248,110,491,354,45
ENSG00000009954.11,5513,4781,6221,7004,5988,12189,5086,5319,5349,8533,5615,5132
ENSG00000010017.13,1566,1465,1703,1887,2317,1584,1630,1704,1643,2315,1699,2218
ENSG00000010030.14,294,356,383,194,192,1065,88,408,227,387,269,120
ENSG00000010072.16,809,381,894,821,599,1564,506,983,515,918,642,692
ENSG00000010165.20,3106,767,1187,1115,1097,1661,861,1302,861,1409,1058,1159
ENSG00000010219.13,689,359,752,535,464,949,455,667,609,717,586,421
ENSG00000010244.19,13398,10158,9903,15613,12147,11426,6960,11029,11856,10819,7222,11576
ENSG00000010256.11,5608,3450,2301,2047,2982,5794,2532,2389,2272,3924,2581,2572
ENSG00000010270.14,1680,1089,1233,1658,1159,1954,970,1262,1230,1840,1272,1460
ENSG00000010278.15,8481,11605,4520,9764,3311,9742,3976,5065,7282,6391,5299,9092
ENSG00000010282.15,10,0,3,2,7,4,24,2,0,5,4,1
ENSG00000010292.13,2246,3593,1741,3219,3188,3806,1272,2029,1701,3206,2710,3036
ENSG00000010295.20,822,561,777,642,542,687,659,771,722,920,753,854
ENSG00000010310.9,548,182,524,473,145,302,631,111,525,705,491,75
ENSG00000010318.21,159,143,180,120,129,244,171,183,166,211,175,122
ENSG00000010319.7,211,84,288,230,169,259,334,1171,206,221,231,62
ENSG00000010322.16,4299,2425,3533,4017,3591,5396,6270,3500,4357,4880,5045,3355
ENSG00000010327.10,4257,3214,3764,4565,6164,5077,7106,9217,10876,6694,5529,5074
ENSG00000010361.14,381,181,225,273,89,245,211,223,310,367,327,229
ENSG00000010379.16,9,4,7,20,30,11,0,9,14,10,6,25
ENSG00000010404.18,579,493,635,794,523,1129,873,751,869,865,821,709
ENSG00000010438.17,2835,49,35,879,203,6028,202,272,219,1254,140,118
ENSG00000010539.12,452,414,510,814,378,939,328,674,409,638,462,738
ENSG00000010610.10,2873,2542,2450,1426,1629,2089,1566,2834,2408,3005,1751,1163
ENSG00000010626.15,398,268,203,426,279,330,256,150,290,432,457,404
ENSG00000010671.16,1016,911,984,411,420,602,570,1177,783,697,596,381
ENSG00000010704.18,870,479,786,844,757,731,591,695,687,895,643,674
ENSG00000010803.16,1546,938,1667,1181,1627,2441,1336,1593,1232,1887,1220,1396
ENSG00000010810.17,2062,4950,2578,2532,1800,2786,1988,5596,3014,3095,2630,3008
ENSG00000010818.10,3754,4192,4898,4988,4137,4325,3714,4219,4462,6013,4583,6680
ENSG00000010932.17,436,82,487,341,280,382,847,475,367,1718,834,1435
ENSG00000011007.12,2068,1860,2535,2697,1364,2092,1227,1662,1953,2327,1726,1947
ENSG00000011009.11,1803,1120,1198,1905,677,2027,746,909,982,1362,831,909
ENSG00000011021.23,967,989,1064,896,720,1502,871,915,814,1333,968,948
ENSG00000011028.14,3005,2579,3044,5186,6254,3224,4025,3869,5356,6544,5757,7995
ENSG00000011052.21,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011083.9,23,7,39,44,5,832,27,32,26,13,14,19
ENSG00000011105.14,1922,874,1814,2495,1356,1793,2178,1122,2364,3585,2734,2371
ENSG00000011114.15,2689,1368,3037,2719,2547,2768,2486,2786,2284,4127,2507,3605
ENSG00000011132.12,607,366,403,352,343,688,308,417,518,482,363,307
ENSG00000011143.19,484,470,383,426,478,513,414,444,417,538,391,483
ENSG00000011198.10,1717,1111,1402,959,952,1299,1046,2350,1080,1322,922,1270
ENSG00000011201.12,1483,878,934,1326,901,830,552,1184,1140,825,878,1915
ENSG00000011243.18,1256,707,1062,815,1047,1473,992,944,1119,1544,1185,914
ENSG00000011258.16,1842,1266,1931,1957,2538,1929,1338,2148,1601,2570,1627,2219
ENSG00000011260.14,1621,1558,1552,1298,1764,2071,921,1441,1209,1787,1297,1413
ENSG00000011275.19,2834,2197,2609,2863,2643,4965,2440,3139,3151,3322,2749,3365
ENSG00000011295.16,2167,1396,1779,1995,1520,2969,1803,2625,2822,2526,1673,1538
ENSG00000011304.22,5394,3119,4129,4211,5463,8314,2706,4353,3830,4676,3195,3652
ENSG00000011332.19,1,5,12,25,33,41,15,2,12,21,13,4
ENSG00000011347.10,372,66,568,531,560,1173,1567,60,630,1705,864,530
ENSG00000011376.12,1781,1220,970,854,1162,2233,1063,1343,1125,1455,1069,1195
ENSG00000011405.13,8109,5683,6703,9455,6685,9443,5992,7543,4786,9601,5955,7870
ENSG00000011422.12,5980,3727,2855,5945,1876,5150,754,2601,2128,1254,1378,3398
ENSG00000011426.11,2233,3050,1625,2039,2914,3187,615,984,789,3322,2954,1770
ENSG00000011451.21,551,395,916,562,992,770,510,611,667,854,626,858
ENSG00000011454.18,2923,3141,3696,2922,4020,5680,3278,3826,3628,4735,3303,4866
ENSG00000011465.18,38795,16481,53133,53402,19080,43550,58910,71124,71393,67644,51736,94760
ENSG00000011478.13,250,215,180,207,162,261,101,187,189,183,134,216
ENSG00000011485.15,2007,1433,1526,2194,969,2741,1505,1121,1616,2353,1727,1526
ENSG00000011523.14,1525,841,1828,1767,1565,2248,1791,2403,1900,2908,2125,1961
ENSG00000011566.15,5130,2409,3221,4309,2908,5307,2940,2806,3071,3371,2475,3469
ENSG00000011590.14,101,109,115,54,99,126,118,109,104,164,120,74
ENSG00000011600.12,2877,2057,1749,872,710,1823,898,1742,1500,1226,1036,892
ENSG00000011638.11,1683,1043,1666,1585,678,2059,941,1222,2191,1102,976,1463
ENSG00000011677.13,7,45,1,98,3,17,3,2,33,4,0,111
ENSG00000012048.23,1172,1589,1082,1011,2220,1513,686,727,640,1343,1045,884
ENSG00000012061.16,1426,1371,1050,1471,678,1602,968,1111,1633,1594,1109,1758
ENSG00000012124.17,247,206,378,243,70,138,321,789,671,184,156,77
ENSG00000012171.20,5671,428,462,850,2400,1869,1687,322,234,578,376,849
ENSG00000012174.12,783,748,832,836,1507,1190,980,799,861,1586,929,1055
ENSG00000012211.13,268,197,186,166,206,563,152,145,321,154,161,168
ENSG00000012223.13,2481,111,206,59,1496,302,684,226,1201,5702,2264,11
ENSG00000012232.9,1839,963,1799,1939,1551,1717,1885,1691,2679,2537,1886,1577
ENSG00000012504.15,143,18,104,57,179,230,375,7,28,836,466,24
ENSG00000012660.14,3406,4430,3406,4252,4280,2193,2409,6277,3457,4287,3154,3457
ENSG00000012779.11,6816,1994,3025,2001,1924,3991,1835,1791,2137,2057,1630,1506
ENSG00000012817.16,4,0,3346,0,1923,6,3985,2,5900,5157,4030,3663
ENSG00000012822.16,4191,1930,4501,4155,2658,4267,3176,3358,3533,4504,3538,3380
ENSG00000012963.15,1232,676,1189,939,1179,1357,827,1037,864,1349,938,947
ENSG00000012983.11,3783,2397,4303,4396,3702,3405,2876,3473,4410,5048,3530,5552
ENSG00000013016.16,674,293,1009,571,909,1102,814,494,976,865,720,1024
ENSG00000013275.8,3338,2142,2708,3529,8148,5037,1603,2055,2200,3115,2281,2280
ENSG00000013288.9,3183,1723,2034,3174,2237,3059,2145,1957,2290,2264,2056,1940
ENSG00000013293.6,137,4,215,293,78,147,403,58,81,560,292,35
ENSG00000013297.12,169,25,358,753,576,357,472,867,535,541,568,261
ENSG00000013306.16,3474,1885,2193,2074,2471,3834,1318,1720,1806,1971,1474,1665
ENSG00000013364.19,13951,6354,9348,10133,4352,20273,4809,7347,6911,8183,6045,5800
ENSG00000013374.16,3250,4488,3498,2622,2085,8803,1891,3668,2031,3079,1960,1991
ENSG00000013375.16,3330,2164,2637,3892,2074,5295,1915,2704,2596,3498,2439,3377
ENSG00000013392.8,469,203,402,391,196,418,286,367,297,446,366,342
ENSG00000013441.16,7141,7900,8028,7514,7327,10556,5153,9771,6211,8583,6612,8259
ENSG00000013503.10,1023,350,964,755,789,1145,690,812,735,820,510,725
ENSG00000013523.11,1247,828,1266,824,793,1302,1175,1127,709,1701,994,900
ENSG00000013561.18,1969,1680,2624,2557,1453,4197,2066,1981,2101,2786,2128,1973
ENSG00000013563.14,645,349,423,408,191,600,360,249,400,368,256,219
ENSG00000013573.17,1490,981,552,999,1387,1683,259,734,1489,1570,1311,656
ENSG00000013583.10,696,385,480,828,719,521,457,513,451,1039,649,709
ENSG00000013588.9,23818,15499,21292,34910,14794,17042,6588,11999,2628,12846,10030,14598
ENSG00000013619.14,129,96,141,158,204,170,216,165,121,200,141,121
ENSG00000013725.14,209,554,591,171,133,274,364,1208,327,312,343,66
ENSG00000013810.20,925,1009,687,900,1195,1352,383,1353,721,760,677,424
ENSG00000014123.10,2833,2211,2819,2961,1753,3521,2326,3023,2074,3780,2502,2505
ENSG00000014138.9,213,127,137,129,229,233,101,154,107,178,172,89
ENSG00000014164.7,317,282,488,347,450,853,434,442,282,419,371,495
ENSG00000014216.16,6790,3085,5299,8227,3330,4951,3126,3474,5090,4360,3719,4018
ENSG00000014257.16,397,177,540,149,163,344,450,232,219,299,201,132
ENSG00000014641.21,5058,4186,3637,4353,2988,5013,2960,4365,2922,5267,3756,3675
ENSG00000014824.14,5566,2413,3145,5673,3544,6452,3407,4118,3562,4838,2987,3622
ENSG00000014914.21,7049,1602,2413,1879,1682,20480,1439,4778,1084,1644,1151,1230
ENSG00000014919.13,1894,1260,1494,1524,1288,2192,989,1383,1417,1489,991,1221
ENSG00000015133.19,1525,1429,2213,831,974,2424,1200,2539,1489,1404,1257,642
ENSG00000015153.15,1207,994,1051,1605,1278,1447,1172,1565,1193,1619,1075,1086
ENSG00000015171.20,5917,2056,4403,3852,2380,7267,4152,4427,5015,6123,3965,3908
ENSG00000015285.11,283,425,343,161,216,229,229,662,349,321,246,213
ENSG00000015413.9,1923,302,457,1580,133,1934,2693,288,1272,1294,976,171
ENSG00000015475.19,2431,754,1115,859,890,1291,919,1186,846,1027,819,923
ENSG00000015479.20,1355,1712,1119,1462,1921,1347,992,1346,1398,1582,1014,1282
ENSG00000015520.15,1067,9,635,154,207,326,520,168,54,960,543,42
ENSG00000015532.10,1407,951,1085,1114,1425,1477,985,860,1445,1478,1388,1196
ENSG00000015568.13,2,10,3,8,17,6,30,4,7,22,30,6
ENSG00000015592.16,1,0,5,3,4,0,3,3,9,5,4,1
ENSG00000015676.18,4953,2133,3448,3483,2655,8735,3123,3263,3466,4721,3731,3525
ENSG00000016082.15,290,179,228,375,152,347,427,299,95,756,446,247
ENSG00000016391.11,3004,1919,678,326,563,2455,1204,1365,316,1650,1137,516
ENSG00000016402.13,979,206,610,301,882,927,620,629,1027,1205,645,1005
ENSG00000016490.16,25,1,8,1010,8,10567,5,6,31,4,3,3
ENSG00000016602.9,22,0,45,21,93,20,6,13,1598,2,0,109
ENSG00000016864.18,2760,1379,1696,1860,2053,2529,1856,1886,2194,2318,1995,2553
ENSG00000017260.20,9940,6211,6589,10379,10062,8545,4562,6344,7222,9016,6175,7255
ENSG00000017427.17,132,50,296,141,155,97,195,759,595,252,120,124
ENSG00000017483.15,1464,674,144,307,1261,2414,323,574,820,421,304,1105
ENSG00000017797.13,3366,1814,2951,4838,2868,4935,2167,4662,3681,3998,2948,3767
ENSG00000018189.13,3719,2578,3868,5116,3185,4125,5018,4712,4228,5928,3865,4772
ENSG00000018236.15,2111,68,2602,2790,1642,1818,3912,558,3399,5005,3601,3886
ENSG00000018280.17,4546,3050,1855,1069,2021,1126,514,615,1494,779,1072,1938
ENSG00000018408.15,2692,2770,3472,6005,14016,2857,3149,3245,3955,5765,4384,4591
ENSG00000018510.17,5300,3541,4705,5943,4347,5260,2947,4032,4096,6566,4475,5658
ENSG00000018607.7,3,1,1,3,6,2,5,1,1,5,3,6
ENSG00000018610.15,955,657,920,1077,786,1898,774,936,732,1017,641,859
ENSG00000018625.15,23,5,67,45,276,29,51,996,39,117,109,5
ENSG00000018699.13,1283,940,927,584,1092,1340,779,1450,747,1122,788,1070
ENSG00000018869.17,77,47,128,114,70,183,164,131,61,181,135,96
ENSG00000019102.12,5131,46,1163,3388,64,2517,610,1049,702,1770,1029,151
ENSG00000019144.19,4391,1705,5686,9127,4249,5391,8144,5138,4743,10718,9342,5165
ENSG00000019169.10,6291,3047,1883,211,461,672,32,252,661,47,51,700
ENSG00000019186.10,61,165,63,42,501,10,124,5,1209,10,2,3887
ENSG00000019485.13,447,139,651,596,647,685,693,521,545,1009,643,656
ENSG00000019505.8,7502,22,2547,1749,2696,4698,2624,2267,167,1516,794,651
ENSG00000019549.13,1046,439,783,1851,1214,450,1568,822,3390,1867,1756,2381
ENSG00000019582.15,56419,67696,49514,22535,20596,37796,25329,65535,56243,42394,28481,22216
ENSG00000019991.18,1263,261,1813,1847,819,2266,1987,1848,1060,2535,1833,1015
ENSG00000019995.6,1109,853,1652,1373,1063,1511,1081,1171,1072,1459,1131,1431
ENSG00000020129.16,638,462,627,763,701,874,608,734,540,893,680,561
ENSG00000020181.18,1661,550,2392,2454,2238,2480,3046,1490,1947,4673,2922,1423
ENSG00000020219.9,0,1,8,0,3,4,3,1,3,4,7,1
ENSG00000020256.20,924,507,630,724,949,1353,464,662,718,688,526,783
ENSG00000020426.11,809,580,996,665,803,777,558,792,547,1029,640,1050
ENSG00000020577.14,1549,1528,2188,2631,1618,1577,1536,2016,2952,1249,1226,3444
ENSG00000020633.19,203,685,825,131,173,396,272,997,310,463,404,252
ENSG00000020922.13,2197,1426,1918,2305,2131,2509,1585,2348,2095,2808,1823,2495
ENSG00000021300.14,1395,1440,297,267,595,2568,516,631,217,935,450,155
ENSG00000021355.13,6276,5548,5208,7695,5671,6634,3669,12723,3177,4580,2928,3093
ENSG00000021461.17,8,3,13,18,6,4,2,9,36,5,5,8
ENSG00000021488.13,68,31,21,71,28,690,15,19,33,33,46,30
ENSG00000021574.13,1677,1166,1442,1435,1737,2429,1120,1788,1243,1718,1165,1666
ENSG00000021645.20,226,293,196,301,266,411,254,111,135,562,387,153
ENSG00000021762.20,1003,580,875,1380,893,1859,1014,775,1355,1200,1161,1555
ENSG00000021776.11,3821,3416,3741,4614,3042,4964,3675,4080,3819,5617,3663,4714
ENSG00000021826.17,5520,62,180,774,214,7723,2172,545,198,524,392,391
ENSG00000021852.13,38,6,11,17,18,32,5,1,28,31,13,6
ENSG00000022267.19,1144,325,1018,989,708,1136,1637,6091,1121,1913,1359,1291
ENSG00000022277.13,3554,1646,2121,3024,1967,3901,1625,2081,2047,1989,1391,2591
ENSG00000022355.18,1,0,0,2,0,0,4,0,0,7,1,1
ENSG00000022556.16,214,412,125,2668,50,2070,458,174,33,23,42,42
ENSG00000022567.10,2274,643,1727,2275,1228,4281,1121,1035,1909,1815,1301,1802
ENSG00000022840.16,2660,1891,3272,3429,3187,4017,2751,2670,2452,3958,2661,2595
ENSG00000022976.15,394,185,343,196,351,565,297,403,195,389,312,232
ENSG00000023041.11,2545,1473,2689,1944,2165,2653,1444,1929,1620,2090,1313,2170
ENSG00000023171.18,1484,665,2259,773,443,1810,994,1252,416,3591,2497,592
ENSG00000023191.17,4995,2402,3258,3607,2389,5648,3061,2830,2780,3536,3011,2387
ENSG00000023228.14,7418,6202,5454,5742,4351,10944,4676,5466,4545,7246,4731,5355
ENSG00000023287.13,4809,3225,6191,6115,6075,9602,3747,5203,5058,6497,3834,6309
ENSG00000023318.8,2660,2264,3059,2634,2170,4198,1962,2731,2045,2920,1753,2259
ENSG00000023330.15,2813,2703,1475,1224,1803,2641,1238,1666,937,1251,1018,1044
ENSG00000023445.16,6732,20632,11591,10657,2814,5001,5956,13097,7118,13040,11930,2131
ENSG00000023516.9,6938,4203,5586,7310,5313,7877,7511,6747,5736,10736,6793,8061
ENSG00000023572.10,871,413,717,686,887,1243,516,968,592,703,509,644
ENSG00000023608.5,359,351,312,307,474,292,180,401,300,294,252,388
